相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,,0,0,,
相机1,,0,0,,
相机1,17:03:28:149_2020_12_07,578,0,0.00%,85.76
相机1,17:11:37:223_2020_12_07,746,1,0.13%,86.97
相机1,17:20:43:087_2020_12_07,81,0,0.00%,87.69
相机1,17:36:59:851_2020_12_07,1972,0,0.00%,1095.09
相机1,17:43:54:898_2020_12_07,65,0,0.00%,891.79
相机1,17:46:26:276_2020_12_07,86,0,0.00%,256.76
相机1,17:49:31:420_2020_12_07,34,0,0.00%,5294.30
相机1,17:56:20:125_2020_12_07,38,0,0.00%,2108.72
相机1,17:58:15:492_2020_12_07,78,0,0.00%,1938.35
相机1,18:02:49:902_2020_12_07,149,0,0.00%,1944.74
相机1,18:16:59:599_2020_12_07,19,0,0.00%,1940.26
相机1,18:32:14:358_2020_12_07,117,25,17.61%,180.26
相机1,18:34:53:113_2020_12_07,11,63,85.14%,272.10
相机1,18:42:40:064_2020_12_07,126,87,40.85%,669.31
