相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,,0,0,,
相机1,16:17:44:423_2020_12_08,14,32,69.57%,899.75
相机1,16:25:23:873_2020_12_08,17,18,51.43%,508.22
相机1,16:29:19:815_2020_12_08,4,10,71.43%,686.46
相机1,16:40:39:979_2020_12_08,377,1,0.26%,26.25
相机1,16:43:29:838_2020_12_08,200,47,19.03%,598.93
相机1,16:49:02:024_2020_12_08,832,0,0.00%,27.30
相机1,17:11:16:246_2020_12_08,309,4,1.28%,26.05
相机1,18:58:04:836_2020_12_08,5447,50,0.91%,497.07
相机1,19:18:07:482_2020_12_08,19,0,0.00%,1813.25
相机1,19:22:13:733_2020_12_08,25,0,0.00%,40.12
相机1,19:22:43:645_2020_12_08,5,0,0%,27.68
相机1,19:25:48:027_2020_12_08,22,0,0.00%,1827.64
相机1,19:27:33:822_2020_12_08,33,0,0.00%,1797.98
相机1,19:36:03:592_2020_12_08,674,0,0.00%,1889.55
相机1,19:38:29:164_2020_12_08,118,0,0.00%,389.30
相机1,19:43:09:391_2020_12_08,0,17,100.00%,50.41
相机1,,0,0,,
相机1,19:47:48:547_2020_12_08,9,0,0%,1786.89
相机1,19:49:13:280_2020_12_08,15,0,0.00%,26.04
相机1,19:49:30:689_2020_12_08,4,0,0%,26.00
相机1,19:50:06:595_2020_12_08,5,0,0%,25.53
相机1,19:51:42:174_2020_12_08,37,0,0.00%,2035.79
相机1,19:54:08:834_2020_12_08,74,0,0.00%,1593.41
相机1,19:56:13:459_2020_12_08,90,0,0.00%,212.10
