相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,13:57:11:744_2020_12_09,576,0,0.00%,469.95
相机1,,0,0,,
相机1,,0,0,,
相机1,,0,0,,
相机1,14:02:46:251_2020_12_09,17,0,0.00%,184.15
相机1,14:03:52:621_2020_12_09,61,0,0.00%,180.07
相机1,14:04:39:953_2020_12_09,52,0,0.00%,182.32
相机1,14:06:54:481_2020_12_09,197,0,0.00%,1967.36
相机1,14:07:30:119_2020_12_09,14,0,0.00%,963.66
相机1,14:08:16:235_2020_12_09,27,0,0.00%,783.15
相机1,14:08:53:026_2020_12_09,15,0,0.00%,1919.19
相机1,14:11:49:880_2020_12_09,16,0,0.00%,1417.20
相机1,14:14:44:718_2020_12_09,20,0,0.00%,1056.50
相机1,14:18:16:101_2020_12_09,14,0,0.00%,1896.36
相机1,14:36:23:220_2020_12_09,41,0,0.00%,567.76
相机1,14:54:39:619_2020_12_09,47,0,0.00%,597.61
相机1,14:58:47:016_2020_12_09,82,0,0.00%,1386.91
相机1,15:01:15:425_2020_12_09,11,0,0.00%,836.57
相机1,15:03:57:474_2020_12_09,21,0,0.00%,764.51
相机1,15:06:23:974_2020_12_09,22,0,0.00%,597.51
相机1,15:07:25:706_2020_12_09,20,0,0.00%,721.71
相机1,15:10:38:723_2020_12_09,42,0,0.00%,67.59
相机1,15:19:12:194_2020_12_09,919,0,0.00%,694.03
相机1,15:23:04:832_2020_12_09,27,0,0.00%,323.10
相机1,15:27:14:106_2020_12_09,5,0,0%,810.89
相机1,15:33:16:674_2020_12_09,124,0,0.00%,136.59
相机1,15:41:47:814_2020_12_09,134,0,0.00%,557.46
相机1,15:57:19:949_2020_12_09,134,0,0.00%,83.70
相机1,16:38:03:958_2020_12_09,1545,0,0.00%,26.86
相机1,,0,0,,
相机1,18:15:56:310_2020_12_09,248,0,0.00%,27.37
