相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,09:58:16:127_2020_12_24,16,0,0.00%,113.65
相机1,10:10:51:833_2020_12_24,17,0,0.00%,83.61
相机1,10:27:14:521_2020_12_24,6,0,0%,80.86
相机1,11:49:31:307_2020_12_24,530,0,0.00%,70.45
相机1,11:50:30:212_2020_12_24,100,0,0.00%,81.03
相机1,14:16:54:931_2020_12_24,22825,0,0.00%,74.93
相机1,14:19:58:221_2020_12_24,11,0,0.00%,68.50
相机1,14:29:32:645_2020_12_24,1439,0,0.00%,70.95
相机1,14:58:35:407_2020_12_24,578,0,0.00%,144.70
相机1,15:01:47:739_2020_12_24,228,0,0.00%,90.79
相机1,16:41:11:089_2020_12_24,2408,0,0.00%,77.95
